PREMISE_ID,LOCATION_ID,CONSTRUCTION_ID,DEVELOPER_ID,COMPETITOR_ID,PROJECT_STATUS_ID,COMPLIANCE_ID,EXISTING_STORE_ID,RENT,RENT_ESCALATION,CAPEX,TARGETED_CUSTOMERS,MANAGEMENT_FEES,TAXES,LEASE_TERM,DECISION_OUTCOME,PREDICTED_ANNUAL_SALES,PREDICTED_DAILY_ORDERS,AVERAGE_TICKET_SIZE,EARLY_TERMINATION_TERMS,PREDICTED_GROSS_PROFITS,PREDICTED_SGA_EXPENSES
173,4,6,15,11,3,5,2,29845.44,0.07,4065441.56,86590,7170.86,3679.93,1,Approved,3420594.46,2481,47.45,1 year penalty,203106.57,361686.55
174,12,16,27,3,2,4,23,41442.95,0.02,3066462.65,14769,5928.04,8791.09,4,Approved,551136.42,1201,129.15,None,579948.66,432473.42
175,33,7,15,14,5,4,6,24404.16,0.08,4508271.07,17844,7528.0,8288.03,8,Approved,1970894.09,1867,119.15,6 months notice,236387.38,321286.67
176,5,6,15,12,1,2,12,13332.56,0.08,3556350.59,29617,8576.21,1893.05,4,Pending,4358456.25,1917,91.46,None,1096206.33,473124.68
177,5,10,8,5,4,4,22,29367.75,0.03,737742.19,37647,5747.84,12377.49,4,Rejected,586559.01,3590,52.05,1 year penalty,1240877.57,343749.07
178,2,18,4,13,2,3,25,42916.74,0.07,1443527.05,60180,7673.55,8192.11,1,Approved,1043816.31,4540,127.93,1 year penalty,1675144.22,319665.84
179,45,11,29,11,4,5,8,9914.86,0.05,3235728.72,99572,1033.11,6396.25,1,Approved,2304841.96,3910,187.13,None,424088.58,39841.11
180,43,18,6,14,4,5,18,38789.47,0.06,2526742.51,62092,4712.73,2652.88,6,Rejected,400609.04,4368,112.14,1 year penalty,657790.74,133176.62
181,36,13,8,1,5,4,14,15037.8,0.09,3343906.75,69144,7122.31,9729.81,8,Pending,568693.91,272,104.92,None,1182288.14,269838.01
182,1,11,5,8,2,1,24,39271.61,0.06,3450132.85,82467,2687.78,9215.87,2,Rejected,2340770.48,4637,55.34,1 year penalty,1776662.68,184701.45
183,19,2,5,13,1,4,19,41097.21,0.09,3406913.22,80156,3657.13,10807.81,3,Rejected,2498390.09,244,105.35,1 year penalty,1470900.29,424533.65
184,39,11,24,6,4,5,16,8097.42,0.1,1491337.8,37653,1232.8,2539.25,1,Approved,1457868.27,218,64.26,6 months notice,233924.49,112145.25
185,36,19,26,6,2,2,9,44828.2,0.04,861181.42,59382,3763.87,5266.89,7,Pending,2678719.67,2153,180.65,None,138773.82,90213.78
186,1,7,9,1,2,1,10,18993.0,0.03,2043497.32,41247,1684.41,9021.45,3,Approved,4791598.66,2128,121.64,1 year penalty,1037776.3,231352.96
187,36,9,8,14,1,1,15,45001.46,0.1,2760498.44,98023,7421.17,14839.3,6,Rejected,4371588.33,1406,90.87,None,904968.78,227820.5
188,33,14,20,15,2,5,15,25677.22,0.08,2953350.61,23488,5426.92,12617.69,7,Pending,1704396.53,117,194.86,None,1322762.4,492487.92
189,31,1,3,3,4,3,4,25361.04,0.09,2485903.89,46648,9790.59,3790.32,7,Pending,2513623.58,1552,194.99,None,613143.27,303195.66
190,22,11,8,3,1,2,9,24366.45,0.05,126889.77,14626,1883.46,5982.52,5,Rejected,2937901.07,3962,186.43,1 year penalty,797812.41,131085.43
191,36,4,28,3,1,4,15,45585.08,0.04,3829566.2,81965,4353.97,3265.55,5,Pending,4393411.0,2480,153.01,1 year penalty,635242.69,363138.52
192,26,16,9,15,3,4,19,21138.05,0.03,1966714.5,30917,3372.48,8179.07,1,Pending,2260322.46,4203,50.77,None,320832.76,327826.37
193,33,10,19,9,2,1,25,13050.64,0.08,548177.59,15882,5410.13,3804.78,7,Rejected,4842073.19,826,196.24,6 months notice,692089.65,180199.39
194,21,17,10,7,5,4,15,6845.31,0.07,179302.94,96660,5687.59,4376.96,8,Rejected,3298304.3,264,62.03,1 year penalty,304804.09,42160.39
195,5,18,20,3,1,4,9,13998.83,0.04,3669585.18,72149,5119.92,9153.38,6,Approved,899301.15,2322,29.29,None,1736339.92,474264.25
196,3,2,30,7,2,5,18,39979.97,0.09,4428613.41,80813,8549.79,3417.99,3,Pending,3386869.56,1438,183.74,6 months notice,1663119.41,156171.74
197,23,9,30,5,1,3,9,27028.15,0.05,4152288.91,13331,3981.95,8442.95,3,Pending,182444.72,4846,117.0,6 months notice,978295.88,450197.26
198,41,18,9,8,1,1,10,41906.01,0.01,663370.86,39452,5689.57,1165.71,8,Rejected,3326278.72,2407,66.32,None,155833.08,333345.26
199,48,8,10,14,5,1,12,42185.09,0.04,4076706.0,82681,8147.78,8718.96,3,Approved,3082516.09,2403,174.87,1 year penalty,1995084.77,303868.08
200,43,12,27,2,1,5,20,6277.27,0.1,2500353.71,46856,9326.05,10322.75,4,Pending,2530586.69,1288,36.55,6 months notice,315378.09,90597.84
201,24,17,2,1,1,3,6,33086.34,0.04,4363267.01,54973,9918.05,1528.7,2,Pending,2411964.17,563,156.15,6 months notice,1428006.15,380958.31
202,39,14,16,12,1,1,5,20544.79,0.09,3427757.37,15611,7320.48,3081.43,8,Pending,392833.07,4296,66.94,6 months notice,1152765.26,256325.42
203,30,4,8,12,4,1,2,10227.04,0.03,826758.44,20702,6776.42,8656.99,8,Pending,417815.77,2418,68.42,None,1292456.77,180559.08
204,8,5,19,12,3,3,25,19007.71,0.05,730545.5,47092,6107.97,2323.91,5,Rejected,1617683.0,3759,151.07,None,438899.56,150404.81
205,23,18,17,10,4,5,13,15878.21,0.06,290762.13,79737,4457.02,3442.33,2,Approved,978210.31,4980,126.34,6 months notice,564123.13,185038.7
206,24,12,23,15,2,1,18,37135.23,0.06,3196415.45,67471,6721.6,13594.12,8,Rejected,1771400.82,662,53.07,None,1161801.79,373734.58
207,41,15,22,15,1,1,23,16112.33,0.07,732379.34,29283,6859.56,4887.08,8,Rejected,4933115.45,1215,195.8,1 year penalty,1939632.02,230413.29
208,34,20,16,2,1,1,12,23703.91,0.06,4403975.15,36218,5591.65,7448.89,4,Pending,4034555.45,1250,81.16,1 year penalty,229200.99,437159.59
209,36,11,12,4,5,4,15,34540.95,0.01,3975375.47,44900,7482.94,12919.09,9,Pending,858529.89,2883,113.04,1 year penalty,1126968.97,297462.17
210,26,5,21,9,3,4,6,20804.72,0.04,3125411.28,91453,8103.72,10520.63,3,Rejected,188139.05,1911,33.28,6 months notice,646315.79,194079.09
211,26,8,24,4,3,2,1,21218.53,0.06,4601896.53,6587,2093.37,1476.57,2,Rejected,391236.48,3689,177.59,6 months notice,885941.14,334508.81
212,40,13,10,4,5,2,14,16131.49,0.06,4937308.8,74056,4392.31,2238.59,8,Rejected,1416817.02,1640,127.09,None,241288.25,85603.91
213,13,1,17,7,5,5,10,6639.79,0.07,2374569.92,91519,2316.81,5224.5,1,Rejected,1036201.3,866,182.55,6 months notice,1541875.68,91301.28
214,11,18,27,1,4,4,19,10779.92,0.04,2557035.65,54954,3084.85,8249.35,9,Rejected,2686753.86,1964,34.19,1 year penalty,1046496.89,225532.63
215,38,15,3,2,3,2,25,31180.93,0.03,1104281.41,88980,8687.7,11190.01,5,Rejected,3727052.35,2679,109.72,6 months notice,1270076.54,427052.48
216,3,10,17,5,5,1,22,20137.88,0.05,4682954.71,94265,1610.74,8125.95,6,Rejected,687808.42,3243,183.76,6 months notice,1417195.68,242376.33
217,3,9,15,5,5,4,25,10201.47,0.02,2899870.09,91991,6120.85,9214.19,3,Approved,2826707.6,2860,121.46,1 year penalty,1627071.71,45737.73
218,30,5,2,9,3,4,24,27752.74,0.01,2498828.59,62400,9259.09,14670.92,3,Pending,3707608.37,4028,46.54,1 year penalty,1027865.6,376519.64
219,16,19,13,1,1,3,18,10440.76,0.02,1649746.59,72443,7189.5,3412.21,4,Pending,3421001.27,1010,28.57,1 year penalty,393173.34,468630.8
220,17,4,19,1,1,1,18,32282.84,0.02,1784648.23,55301,9747.47,12982.41,3,Pending,2928948.42,1210,127.71,1 year penalty,1826801.6,143865.29
221,42,6,25,14,1,5,13,32858.11,0.06,3628301.69,78682,6885.76,12682.75,5,Pending,2377164.62,138,110.9,None,1200532.83,153136.72
222,6,9,18,12,2,2,21,21626.25,0.03,575739.75,78291,9995.76,6126.02,6,Rejected,1270871.93,371,74.1,6 months notice,575267.2,414430.69
223,21,3,26,8,2,1,9,37452.25,0.05,4566973.86,28412,9984.38,13143.59,9,Pending,4321492.41,1067,74.86,None,910223.93,210155.82
224,3,3,22,9,2,3,25,35685.62,0.03,165929.86,81445,4223.05,9427.24,5,Approved,760283.99,1036,199.82,None,327201.6,401824.88
225,11,6,27,11,3,5,14,26102.03,0.03,380993.31,73762,3065.69,8812.2,3,Approved,1762997.14,1091,190.5,6 months notice,940990.88,475288.95
226,24,9,30,11,2,2,1,28551.69,0.09,4008111.76,63561,6275.03,3676.46,5,Rejected,827369.11,3466,116.34,6 months notice,1828213.68,92930.15
227,29,17,24,11,1,5,10,36108.41,0.06,588289.56,46133,7513.18,3672.46,7,Rejected,1625502.3,2379,40.18,6 months notice,95616.66,215169.44
228,7,8,30,10,1,1,17,48773.86,0.06,178120.82,13160,8583.39,6188.01,9,Approved,3168167.99,1325,139.91,None,875200.06,330459.03
229,37,7,4,1,3,1,7,15046.85,0.03,1635448.91,53639,1214.84,5553.8,4,Approved,2478427.18,759,159.63,None,1357866.52,301319.47
230,14,11,24,11,1,1,22,22022.97,0.07,951661.35,10855,8365.35,13559.23,9,Pending,1006718.83,679,91.27,None,183894.83,437758.54
231,41,2,14,14,2,4,15,11222.94,0.08,1775519.38,79522,5775.31,1683.79,4,Pending,169051.53,4549,86.11,None,1988609.05,112648.28
232,22,19,24,5,5,5,7,6002.72,0.08,2966384.51,25286,2132.32,5389.33,5,Rejected,1129680.25,3080,25.38,None,1326426.56,166717.02
233,13,7,13,11,2,3,25,21746.75,0.06,1815439.36,15608,5440.48,5927.4,2,Approved,3221463.54,627,175.96,1 year penalty,159513.79,79026.75
234,50,7,15,7,5,5,10,48132.51,0.04,3715166.19,15551,4712.23,4875.84,3,Approved,2946175.42,1467,72.23,6 months notice,1247414.14,241126.04
235,31,6,24,8,2,1,7,26619.67,0.02,3441837.15,64429,1045.26,1184.58,6,Rejected,364968.37,1906,174.29,1 year penalty,735281.13,252519.95
236,47,17,6,3,2,5,17,48642.66,0.07,2664612.44,98486,9366.6,7805.15,8,Approved,2665521.61,2180,189.47,1 year penalty,1564137.54,15458.88
237,1,2,4,13,4,4,23,29217.13,0.05,2855447.63,25151,4109.25,5297.45,8,Pending,283111.02,1265,97.19,None,1261763.3,169120.14
238,16,10,18,5,4,1,6,35780.82,0.04,1017128.15,23870,7116.51,8496.06,6,Rejected,582997.04,2164,55.27,1 year penalty,771262.15,22417.5
239,17,18,5,15,3,1,2,38172.31,0.08,678593.24,75360,3136.77,8820.96,9,Pending,1042846.32,248,111.13,6 months notice,644813.44,222292.72
240,9,10,27,11,5,1,23,42126.8,0.09,3776505.87,70649,6795.88,12190.13,1,Pending,2275784.38,1334,124.97,1 year penalty,691603.18,383292.48
241,37,5,21,6,4,3,1,45254.37,0.09,3271191.97,79091,4142.25,3764.02,3,Rejected,759136.78,3431,40.21,1 year penalty,1310475.59,413127.21
242,15,16,4,13,2,2,3,34616.07,0.03,2500311.01,59810,2015.86,11471.91,9,Approved,3860858.93,4870,140.22,None,1392599.3,16611.63
243,44,13,9,15,4,3,12,47038.24,0.03,1468675.54,30221,4843.45,3726.45,9,Rejected,2313016.39,632,182.27,None,225403.18,45116.2
244,2,8,19,1,5,5,15,44667.12,0.05,328720.67,47206,9140.22,9010.73,9,Pending,2227203.01,2892,163.93,1 year penalty,1315581.05,236021.01
245,14,13,9,15,5,3,22,28730.32,0.06,1836093.08,70166,8193.4,4068.12,9,Approved,4561356.51,1199,184.24,6 months notice,1173700.8,411443.47
246,19,20,7,12,1,2,12,36525.27,0.09,4202830.8,7776,1928.95,6064.62,5,Pending,4427424.1,2874,106.9,1 year penalty,841687.14,439194.37
247,4,20,7,10,1,2,9,49724.04,0.04,2210167.17,53667,5021.63,13632.89,7,Approved,3328752.0,1520,141.57,6 months notice,556304.25,44251.2
248,30,8,2,11,2,3,8,28448.54,0.06,2295236.1,18828,1436.07,4256.29,9,Approved,2741128.21,1645,111.49,None,1663192.66,268355.26
249,30,9,21,15,5,4,24,30141.71,0.06,3389967.57,58249,4998.08,12667.03,9,Approved,245228.3,567,40.37,None,440587.93,78215.93
250,45,15,30,14,1,2,10,8830.86,0.03,337640.58,99989,4398.18,3939.09,9,Pending,3366568.04,948,99.41,1 year penalty,1160661.5,397077.33
251,6,13,25,4,4,5,7,27574.78,0.09,4549015.94,22747,5378.63,5094.88,7,Approved,2492965.35,1157,60.6,6 months notice,738426.52,467474.44
252,4,8,29,2,5,2,8,7680.88,0.07,1080542.71,78577,9245.39,13564.18,2,Rejected,1285690.54,1343,147.34,1 year penalty,712646.04,249245.14
253,23,11,18,15,5,4,15,27434.4,0.04,720080.04,78186,3509.2,11930.26,1,Approved,743850.45,2230,103.59,6 months notice,413515.98,490439.93
254,46,11,19,3,4,4,11,33834.79,0.05,2231186.51,74893,8319.36,2329.78,2,Pending,953085.03,2052,59.57,6 months notice,496328.45,446813.94
255,37,15,20,6,4,1,21,8841.72,0.02,3438701.98,84867,8957.94,4529.34,8,Pending,4283829.0,55,83.2,6 months notice,83267.33,93486.19
256,41,4,13,4,5,1,17,46202.36,0.09,239283.81,40346,5430.31,11432.39,3,Approved,668188.21,2328,131.02,None,348663.11,152965.99
257,44,2,22,2,4,1,19,27166.72,0.03,3987931.67,75894,3608.82,6440.63,5,Rejected,887783.33,4328,124.06,None,1659147.32,183672.49
258,5,14,28,7,3,3,22,34604.08,0.02,4339360.27,35754,5776.61,12443.86,7,Approved,3602196.59,4793,23.95,1 year penalty,574140.17,159782.46
259,26,15,9,3,1,2,2,13132.31,0.09,427118.28,22679,6959.45,3145.62,3,Rejected,4498745.83,3821,62.13,None,445005.26,268369.96
260,39,12,1,4,5,5,25,23641.32,0.06,3046965.26,3576,7042.71,8714.65,3,Pending,101341.91,1518,173.08,6 months notice,332321.38,426611.1
261,5,6,26,12,2,1,4,42210.62,0.04,1678483.25,17905,7758.81,6596.1,2,Rejected,1147015.96,3388,161.21,None,805747.91,438533.79
262,29,3,22,1,5,2,16,20663.08,0.06,2617601.85,71373,9152.3,4523.46,5,Rejected,569363.38,1446,100.97,1 year penalty,1559785.08,424717.85
263,15,16,27,15,1,3,21,45709.02,0.04,1062885.11,7527,3575.04,1285.66,3,Pending,2282645.95,1690,46.56,1 year penalty,1622350.02,134369.41
264,1,16,1,6,2,4,12,11307.65,0.07,4311250.9,58724,5494.4,1764.44,7,Approved,3111767.91,772,197.73,None,841431.82,363586.47
265,31,18,11,8,1,2,20,46573.06,0.07,3222785.29,5553,3711.32,3278.1,5,Rejected,1663703.76,2816,164.74,6 months notice,1509879.42,14606.75
266,32,11,28,13,2,4,3,16085.95,0.1,202534.08,65522,5803.01,13331.8,5,Approved,3391495.68,2615,131.4,6 months notice,155094.66,496285.97
267,46,1,9,13,5,2,8,10586.81,0.08,3145691.5,19153,2584.16,5634.04,4,Approved,4081422.58,3501,79.95,1 year penalty,1847992.74,269210.92
268,39,9,28,11,1,5,10,20412.48,0.05,4286361.38,16769,6937.25,4361.49,9,Rejected,3736544.48,4809,141.29,1 year penalty,736139.33,161422.53
269,24,7,19,4,3,2,22,22171.22,0.1,790978.51,64764,2276.9,14640.87,8,Rejected,3639604.43,4705,108.58,6 months notice,81475.67,431666.81
270,16,10,28,12,4,5,3,21030.68,0.03,482991.23,30746,6234.32,9829.88,5,Pending,156517.42,136,109.92,1 year penalty,512455.97,26038.73
271,8,12,4,6,5,1,13,15575.95,0.02,3379278.45,98809,5465.77,13525.97,6,Pending,3398529.95,4757,132.12,6 months notice,872133.77,19417.48
272,44,9,29,4,4,4,19,49209.97,0.03,799681.12,49535,7049.91,12508.87,5,Approved,612968.58,1993,127.59,6 months notice,555480.7,339114.16
273,4,9,11,1,1,4,22,21782.62,0.05,4805369.87,64235,6571.39,8304.49,7,Approved,3005311.95,4750,117.19,1 year penalty,1625683.92,117802.44
274,50,3,30,13,5,2,25,44998.72,0.03,3716327.74,61454,5887.38,9549.1,1,Rejected,4107670.6,4162,118.7,None,1016199.5,424747.95
275,15,19,2,15,2,1,12,42137.91,0.1,304299.33,31797,3477.97,7047.61,5,Approved,3757401.95,2229,198.21,1 year penalty,1694421.41,233675.14
276,39,6,17,5,2,1,3,19203.27,0.01,4383558.39,88205,8445.47,12660.66,3,Pending,1283567.15,920,170.92,1 year penalty,814562.54,22618.27
277,25,5,15,6,3,2,21,22411.98,0.04,3015266.54,11504,5286.22,8013.72,6,Pending,489289.93,261,168.62,1 year penalty,1678425.9,325035.25
278,35,4,18,10,4,3,14,22627.17,0.08,459443.26,20044,3087.85,14228.44,7,Approved,200122.26,3742,39.24,None,1095800.09,382103.85
279,2,19,16,9,2,3,18,9994.41,0.06,1595893.45,92262,4273.9,10108.74,4,Approved,2537707.26,679,195.83,None,404587.84,16975.0
280,16,19,25,1,3,1,25,40778.74,0.07,2465741.69,15709,5744.22,14472.01,1,Approved,599878.59,418,161.69,6 months notice,527401.88,272602.93
281,20,20,29,12,3,5,17,30887.16,0.08,410429.4,93466,4558.41,14710.2,9,Rejected,2795639.33,2559,103.36,1 year penalty,365169.67,205915.15
282,23,8,9,3,2,2,8,17216.19,0.07,4894707.8,68053,6435.18,4622.88,8,Pending,719831.41,4343,62.16,1 year penalty,478013.21,171756.06
283,43,20,28,1,4,2,3,21303.85,0.04,4379314.57,57943,3414.78,3996.52,5,Approved,3097700.91,914,102.88,None,1747468.39,300976.8
284,42,3,25,11,2,3,9,31219.03,0.03,297391.79,48489,6425.56,1099.25,7,Rejected,4969340.58,2021,37.65,None,1576703.83,420413.25
285,39,8,21,13,1,3,21,26042.85,0.05,1869039.53,58816,1418.73,12366.75,4,Approved,881845.55,288,101.18,None,1417321.04,363576.84
286,40,19,7,13,5,2,25,8726.73,0.06,476674.27,21929,9971.27,9003.89,7,Approved,3336496.79,1318,108.27,None,1960630.89,25736.03
287,1,20,24,4,1,5,5,20526.08,0.05,3677077.76,16460,1710.05,8029.9,1,Pending,1570983.98,1883,52.63,1 year penalty,621129.92,286260.84
288,34,5,30,13,4,1,3,18666.53,0.08,2569316.5,38593,5663.19,8422.03,3,Approved,3224807.61,4104,195.7,1 year penalty,1138588.7,69365.84
289,18,3,25,4,3,4,17,10445.57,0.05,1525256.27,17009,3632.26,2232.51,2,Approved,1358440.03,4609,152.36,None,1914244.95,389202.77
290,44,7,9,15,5,5,7,10137.53,0.08,2340617.85,66995,2957.42,8790.54,7,Rejected,1559462.75,4095,49.29,6 months notice,1374294.9,210834.4
291,43,18,8,13,3,5,7,36979.68,0.08,169944.97,70783,5924.92,12276.39,7,Rejected,2383776.44,187,95.72,None,1408277.83,253153.94
292,41,2,4,11,4,5,16,18233.17,0.04,3960072.8,30029,3598.44,9086.88,7,Pending,4411346.44,4306,80.38,None,620618.29,126430.35
293,48,8,29,12,5,1,5,46364.12,0.04,3138880.35,45206,7737.04,2357.41,4,Pending,137137.01,168,56.79,None,279938.04,184874.66
294,21,19,1,5,3,2,19,31768.46,0.1,1315363.43,29260,1117.97,1358.09,9,Pending,1382416.31,3347,119.14,6 months notice,211105.01,333657.19
295,8,17,18,15,4,2,18,13512.99,0.03,4484757.73,23793,4543.55,1649.39,7,Approved,819508.63,3799,75.21,None,363318.85,488686.73
296,24,8,4,6,5,5,12,22804.45,0.01,1351070.97,78709,1228.52,3296.99,4,Pending,1737389.94,3882,155.23,None,1242042.41,499137.91
297,46,6,21,3,4,5,10,13370.55,0.02,3443637.84,81983,7397.23,14222.73,9,Rejected,2222968.7,3235,136.79,None,542464.61,196515.51
298,25,19,23,3,5,5,17,41604.99,0.05,1062982.82,63860,5451.44,11158.8,8,Rejected,2700314.18,748,136.35,6 months notice,1747358.88,185042.68
299,1,17,21,6,3,2,16,31427.52,0.1,3517950.04,10656,1552.34,2367.8,9,Rejected,475756.3,78,196.45,6 months notice,1300681.02,407692.93
300,49,7,18,12,3,1,13,37357.54,0.09,1955067.18,70139,1041.68,1572.76,8,Pending,2811418.69,2764,122.27,None,1977361.3,329966.27
301,7,18,12,15,2,4,10,48717.91,0.06,3956353.48,98137,5700.39,11941.68,7,Rejected,4630563.28,1093,140.9,None,659305.65,110232.26
302,26,19,18,8,3,2,25,43773.49,0.07,4008734.78,32852,4462.96,6082.42,6,Pending,2947095.34,2172,180.94,1 year penalty,1977630.09,71481.04
303,50,7,26,12,1,5,24,29172.22,0.09,3895624.73,55724,2986.86,14741.16,7,Approved,4009152.79,3157,119.78,6 months notice,342833.13,17208.77
304,42,18,7,6,2,3,9,48712.63,0.01,377427.07,56710,3628.77,11795.94,1,Approved,982959.55,1444,136.38,None,788571.11,209464.79
305,49,18,21,12,1,5,4,12060.07,0.05,199701.5,90008,2431.42,7036.73,4,Rejected,3355752.58,638,188.89,None,1659610.97,48045.91
306,34,18,17,2,1,5,8,14283.25,0.08,1106165.36,90667,1859.9,1332.45,5,Rejected,561709.73,3441,66.02,None,803237.54,469753.9
307,16,9,25,6,4,2,13,25687.97,0.05,3114196.72,9633,6312.92,3360.35,5,Pending,2416967.21,2060,125.01,None,1793230.9,182530.03
308,29,9,1,13,1,4,7,14772.06,0.02,3812882.78,13158,4686.9,11824.63,9,Pending,1422067.81,3022,152.22,None,251926.4,37047.42
309,38,16,12,6,5,4,14,37308.31,0.08,4376925.33,43894,1090.79,11373.02,2,Pending,2680820.31,1539,67.18,1 year penalty,286010.61,122061.72
310,35,9,22,1,4,4,14,6177.41,0.02,4515680.98,20677,2830.87,4206.64,2,Approved,2427373.59,954,103.58,1 year penalty,1285062.85,294591.2
311,47,9,27,8,2,5,2,17618.67,0.09,2455286.5,62942,1045.85,6446.84,4,Rejected,528666.04,2605,51.58,1 year penalty,425082.78,118824.38
312,36,17,20,9,4,3,14,9242.09,0.08,1743299.34,91147,4721.57,7352.75,5,Rejected,4971391.45,3618,107.97,None,1464494.52,58767.8
313,6,8,4,8,5,4,3,27245.21,0.06,3219443.07,4516,2510.98,6551.02,8,Approved,2352568.87,1123,176.68,6 months notice,397044.03,372360.67
314,43,18,26,2,5,3,3,42954.61,0.08,3366339.22,94147,1026.64,4088.13,8,Pending,2442080.45,4304,124.69,None,776253.32,330515.4
315,45,2,30,6,1,4,5,32487.67,0.06,2700698.03,28776,9932.83,2089.82,7,Approved,2116879.92,857,89.26,None,142899.23,407410.25
316,4,16,21,15,2,5,3,19743.52,0.06,706544.11,39674,7316.34,14925.13,5,Approved,1264453.81,4522,149.05,None,1990845.65,334656.54
317,22,2,8,14,3,5,23,47211.14,0.07,962331.45,86255,3309.14,6177.66,6,Rejected,4527867.35,4456,146.11,1 year penalty,1289894.76,354026.98
318,18,19,13,8,5,2,3,23459.9,0.01,4065584.35,40087,7375.79,6170.27,8,Pending,414352.74,1667,121.43,1 year penalty,569376.42,140323.21
319,35,4,25,15,5,5,14,13012.91,0.06,1504254.19,34948,1031.53,14316.35,3,Rejected,4368648.51,1671,126.7,None,132294.84,320913.52
320,31,11,27,12,3,3,23,26975.18,0.02,4641829.55,20261,2744.4,6956.36,8,Rejected,834144.84,3939,183.19,1 year penalty,893808.4,18877.2
321,23,20,9,6,2,2,19,8101.85,0.03,3865316.27,94629,6396.18,1519.03,3,Pending,794319.85,1728,173.63,1 year penalty,490490.51,127059.15
322,17,18,23,8,2,1,21,24569.42,0.09,3556838.18,94515,6228.8,11291.36,9,Approved,1416025.4,1001,22.66,None,1584565.23,333971.15
323,24,18,7,6,4,4,19,44676.95,0.05,1653385.13,42107,2139.81,6978.29,3,Rejected,3576643.78,1367,71.93,1 year penalty,808649.95,332090.4
324,32,12,5,7,5,3,19,25130.82,0.07,2308154.81,30670,2684.43,2553.79,4,Rejected,4933765.26,2051,168.77,6 months notice,1433861.99,97815.74
325,50,18,11,8,4,5,19,42062.0,0.02,3860494.55,4901,7737.48,11300.71,1,Approved,3409299.84,1355,140.35,1 year penalty,712069.48,58978.75
326,10,20,24,10,3,1,7,44688.62,0.08,495154.56,32287,2838.29,2194.0,7,Pending,1763689.04,647,102.84,None,396420.84,192345.7
327,35,9,29,12,3,4,1,38928.88,0.06,2890767.69,98076,5785.94,3353.59,2,Pending,4635658.82,4668,112.31,1 year penalty,1307719.37,181688.33
328,14,1,13,14,2,4,16,25441.84,0.05,2262727.69,71463,2051.57,10521.58,6,Rejected,2818565.08,3967,71.73,1 year penalty,409734.1,427133.39
329,6,11,1,1,2,4,21,14906.63,0.02,492546.69,22998,8190.7,6423.19,4,Pending,4988956.95,2743,136.6,6 months notice,234257.5,163926.93
330,30,16,15,2,2,5,24,13504.1,0.03,530922.1,93357,5774.37,5831.63,2,Rejected,2619089.84,4673,146.79,None,638638.88,23086.15
331,5,18,24,11,4,4,11,14574.75,0.03,4977463.82,38988,4301.27,10385.47,9,Rejected,2446882.25,3861,80.4,6 months notice,737216.92,414446.72
332,15,19,11,15,1,1,6,32337.13,0.02,1426699.09,2189,6849.51,9714.45,5,Pending,1577369.38,1728,35.29,None,934243.3,340239.4
333,35,14,10,14,4,3,24,34302.84,0.06,4659451.28,67822,4024.36,8914.08,2,Approved,3374191.08,2768,31.9,None,1638577.11,267671.87
334,50,16,28,2,1,1,5,48285.16,0.05,4076586.55,30132,8134.98,4263.14,8,Approved,2129188.98,1886,41.89,1 year penalty,1914192.44,39791.7
335,49,7,3,10,1,3,2,28742.7,0.1,3074238.54,38862,4927.93,1897.11,3,Approved,3535011.24,3336,116.0,1 year penalty,1250078.72,188209.67
336,29,8,20,14,5,1,16,47640.23,0.07,2531534.3,58622,8704.14,1662.47,6,Approved,3751366.0,1268,198.37,1 year penalty,707375.29,311255.18
337,13,18,2,4,3,2,4,23415.13,0.03,704701.06,53599,9849.02,9890.85,8,Approved,3323299.95,2826,198.7,1 year penalty,1603107.59,463324.71
338,35,5,30,8,3,3,12,13992.52,0.03,3236258.62,3624,1139.24,6049.94,9,Rejected,376369.42,3963,45.12,1 year penalty,1489416.2,290055.38
339,6,4,30,13,1,5,23,32490.24,0.07,3218754.58,53713,2813.56,11709.03,4,Pending,3669615.8,1716,157.63,None,1941499.02,394479.15
340,12,4,16,11,1,1,20,16529.25,0.03,206042.04,35159,4777.54,7402.95,5,Approved,3605598.48,3867,184.37,1 year penalty,1426438.31,194221.2
341,36,12,14,5,3,1,18,38530.97,0.06,3775704.88,76217,9848.6,6535.71,3,Pending,3405579.03,1631,26.09,1 year penalty,1249290.79,416826.76
342,49,2,21,4,5,2,24,30672.75,0.09,147239.37,54082,4158.09,13304.61,3,Rejected,2577521.14,1768,82.69,6 months notice,1301791.99,243663.4
343,4,8,18,7,4,5,15,44162.75,0.06,597426.15,91048,2308.96,5810.13,9,Rejected,2822604.51,836,196.82,None,1994713.38,94462.38
344,37,15,29,14,4,5,8,39775.87,0.08,3483991.22,97813,7730.98,12968.42,1,Rejected,4761963.63,215,36.86,1 year penalty,1736397.29,42611.66
345,7,2,28,4,1,2,20,8371.14,0.03,142808.89,82299,6371.65,12933.52,2,Approved,709942.93,127,90.41,6 months notice,1878164.82,134407.31
346,13,14,15,8,1,4,24,31624.45,0.07,3462551.73,19916,7492.07,3869.61,4,Pending,3238067.2,627,25.23,1 year penalty,1708493.11,41657.0
347,29,6,16,12,4,3,25,11103.99,0.02,527187.57,60645,6335.53,6605.64,5,Approved,3572793.24,2233,39.85,None,1752021.39,62530.3
348,17,1,10,15,2,4,5,41447.67,0.07,2742503.97,17773,5988.37,7730.35,7,Rejected,4734543.44,2288,160.33,6 months notice,1853456.82,277583.61
